2025-05-30 06:31:21,282 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:21,283 - INFO - Processing 74 pages with pdfplumber...
2025-05-30 06:31:22,099 - INFO - Batch 1 completed in 0.82s - Pages 1 to 10
2025-05-30 06:31:23,660 - INFO - Batch 2 completed in 1.56s - Pages 11 to 20
2025-05-30 06:31:24,878 - INFO - Batch 3 completed in 1.22s - Pages 21 to 30
2025-05-30 06:31:25,965 - INFO - Batch 4 completed in 1.09s - Pages 31 to 40
2025-05-30 06:31:27,193 - INFO - Batch 5 completed in 1.23s - Pages 41 to 50
2025-05-30 06:31:28,501 - INFO - Batch 6 completed in 1.31s - Pages 51 to 60
2025-05-30 06:31:29,927 - INFO - Batch 7 completed in 1.43s - Pages 61 to 70
2025-05-30 06:31:30,243 - INFO - Batch 8 completed in 0.32s - Pages 71 to 74
2025-05-30 06:31:30,243 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,244 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,244 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,244 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,244 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,244 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,244 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,244 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,244 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,244 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,244 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,244 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,244 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,244 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,244 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,244 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,244 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,244 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,244 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,244 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,244 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,244 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,244 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,244 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,244 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,244 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,244 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,245 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,245 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,245 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,245 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,245 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,245 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,245 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,245 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,245 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,245 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,245 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,245 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,245 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,245 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,245 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,245 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,245 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,245 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,245 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,245 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,245 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,245 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,245 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,245 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,245 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,245 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,246 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,246 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,246 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,246 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,246 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,246 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,246 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,246 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,246 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,246 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,246 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,246 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,246 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,246 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,246 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,246 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,246 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,246 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,246 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,246 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,246 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,246 - INFO - PDF processing completed in 9.03s
2025-05-30 06:31:30,246 - INFO - Performance metrics: {'total_processing_time': 9.030627965927124, 'avg_time_per_page': 0.12203551305306924, 'total_text_extraction_time': 8.883552312850952, 'total_table_extraction_time': 0.07564091682434082, 'avg_text_time_per_page': 0.12004800422771557, 'avg_table_time_per_page': 0.0010221745516802814}
2025-05-30 06:31:30,246 - INFO - Total processing time: 9.03s
2025-05-30 06:31:30,246 - INFO - Starting PDF processing: Adel Mali Tablo ve Dipnotlar 31.12.2024---pdf3.pdf 22-06-44-278.pdf
2025-05-30 06:31:30,259 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,262 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,263 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,263 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,263 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,264 - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-05-30 06:31:30,264 - WARNING - CropBox missing from /Page, defaulting to MediaBox
